OrganizationId,ReportGuid,ReportName,WorkspaceId,IsUsageMetricsReport
"","a560341d-8b5f-4ca8-8cbf-e3eedbdcac33","AI Native Exec Reporting","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","57a8f901-ec77-4ed5-ad34-bc7757fd5f63","Content Self-Serve Dashboard_multitag","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","c3c96a23-40de-47e6-8172-44700ed0ba1b","Xbox_Agent_Report_Shadow_Prod-V3__toBeDeleted","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","937251d4-b5ac-4a5c-943a-5fb1b17eb35d","AIMetrics_V2","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","0bf86c33-859f-4fe3-94e3-f75bbf4e0a99","Dashboard Usage Metrics Report","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",True
"","77d47fa2-9108-40ef-9961-3060488f9666","Content Self-Serve Dashboard","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","7808036c-b205-4d41-8568-49b23a21ba3e","DTP_Shadow_Experimentation_1113","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","7a4f1aa8-f757-4a0e-8eab-774b043a6bfe","AI-Native-Success-Metrics-Dataset-StalenessCheckSev4","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","95395726-c1ef-47e4-b7a1-101fd6b04354","exec_latest","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","a99855f7-e2c0-47c0-982f-720abae0f84e","Agentic Copilot Outlook","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","ee6b697e-08ef-4069-82f1-83d34100356b","MFADataProtection-ShadowDashboard-Prod","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","c4757435-a914-4a65-af1a-a175bcaafe8a","Surface_Shadow_Experimentation_PROD","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","8a1864fd-52c4-4839-9db4-9417b4e9ed03","AIMetrics_V1","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","01a2a706-ba79-47f4-935c-9c3f843364a5","Usage Metrics Report","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",True
"","a87e57c7-4d50-403a-84a5-94ebe0b91a98","Actionable_Feedback_Commercial","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","6d549ec4-a493-4e08-b91d-7b8ae089cc8c","Agentic Copilot Auto Case Update","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","50e807b4-cf2e-411a-ad08-72ac39ee9592","SCIM_ShadowDashboard_Prod","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","420eaab0-b010-41ae-8a54-9627cf69589d","AIMetrics_backup_28_08","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","15eeb56e-9b1f-4b2e-bbbe-ab9cd19ffa5a","AIPodSemanticModel_V2","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","a1a490a8-3c7f-403e-ac2c-2c1192a9d6e0","AI Native Success Metrics demo","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","72785364-953b-4955-859d-78d58cfc48c9","exec","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","2d12187b-f426-4d2b-93bd-623c4123e7ed","Agent Copilot Metrics Consumer - PROD","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","3012317e-28e3-47f6-8f18-b62156a689a6","Actionable_Feedback_Consumer","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","f6fe26cf-6a48-47a8-a2c2-658b3a8d4573","Report Usage Metrics Report","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",True
"","8aaf5f64-eeee-4189-9576-19940557907f","Surface_Shadow_Experimentation_PPE","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","3acc2784-5fe6-4eb1-940f-7977c8482295","AIMetrics_Draft","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","f8f9f871-a3d8-4967-a7c5-ad8d0fbf6260","AI-Native-Success-Metrics-Dataset-StalenessCheckSev3","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","6ab2576c-07ca-40a1-9ce8-4ad55a2f0e68","AI Success Metrics","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
"","e3925099-65f3-4972-844a-819ed070701c","Agent Copilot Metrics Commercial-Report","7e0b9c30-bcdd-4d21-9b8c-3aa92f9712de",False
